timestamp,spot_ltp,percentage_difference,oich_pd
2024-05-30 21:44:18,48682.35,13.154469496578075,0.0
2024-05-30 21:44:31,48682.35,13.154469496578075,0.0
2024-05-30 21:44:44,48682.35,13.154469496578075,0.0
2024-05-30 21:44:56,48682.35,13.154469496578075,0.0
2024-05-30 21:45:10,48682.35,13.154469496578075,0.0
2024-05-30 21:45:22,48682.35,13.154469496578075,0.0
2024-05-30 21:45:35,48682.35,13.154469496578075,0.0
2024-05-30 21:45:48,48682.35,13.154469496578075,0.0
2024-05-30 21:46:01,48682.35,13.154469496578075,0.0
2024-05-30 21:46:14,48682.35,13.154469496578075,0.0
2024-05-30 21:46:26,48682.35,13.154469496578075,0.0
2024-05-30 21:46:39,48682.35,13.154469496578075,0.0
2024-05-30 21:46:51,48682.35,13.154469496578075,0.0
2024-05-30 21:47:04,48682.35,13.154469496578075,0.0
2024-05-30 21:47:16,48682.35,13.154469496578075,0.0
2024-05-30 21:47:29,48682.35,13.154469496578075,0.0
2024-05-30 21:47:41,48682.35,13.154469496578075,0.0
2024-05-30 21:47:54,48682.35,13.154469496578075,0.0
2024-05-30 21:48:07,48682.35,13.154469496578075,0.0
2024-05-30 21:48:20,48682.35,13.154469496578075,0.0
2024-05-30 21:48:33,48682.35,13.154469496578075,0.0
2024-05-30 21:48:45,48682.35,13.154469496578075,0.0
2024-05-30 21:48:57,48682.35,13.154469496578075,0.0
2024-05-30 21:49:10,48682.35,13.154469496578075,0.0
2024-05-30 21:49:23,48682.35,13.154469496578075,0.0
2024-05-30 21:49:36,48682.35,13.154469496578075,0.0
2024-05-30 21:49:49,48682.35,13.154469496578075,0.0
2024-05-30 21:50:01,48682.35,13.154469496578075,0.0
2024-05-30 21:50:14,48682.35,13.154469496578075,0.0
2024-05-30 21:50:27,48682.35,13.154469496578075,0.0
2024-05-30 21:50:39,48682.35,13.154469496578075,0.0
2024-05-30 21:50:52,48682.35,13.154469496578075,0.0
2024-05-30 21:51:05,48682.35,13.154469496578075,0.0
2024-05-30 21:51:17,48682.35,13.154469496578075,0.0
2024-05-30 21:51:30,48682.35,13.154469496578075,0.0
2024-05-30 21:51:42,48682.35,13.154469496578075,0.0
2024-05-30 21:51:55,48682.35,13.154469496578075,0.0
2024-05-30 21:52:08,48682.35,13.154469496578075,0.0
2024-05-30 21:52:20,48682.35,13.154469496578075,0.0
2024-05-30 21:52:33,48682.35,13.154469496578075,0.0
2024-05-30 21:52:46,48682.35,13.154469496578075,0.0
2024-05-30 21:52:59,48682.35,13.154469496578075,0.0
2024-05-30 21:53:13,48682.35,13.154469496578075,0.0
2024-05-30 21:53:25,48682.35,13.154469496578075,0.0
2024-05-30 21:53:38,48682.35,13.154469496578075,0.0
2024-05-30 21:53:51,48682.35,13.154469496578075,0.0
2024-05-30 21:54:05,48682.35,13.154469496578075,0.0
2024-05-30 21:54:18,48682.35,13.154469496578075,0.0
2024-05-30 21:54:30,48682.35,13.154469496578075,0.0
2024-05-30 21:54:43,48682.35,13.154469496578075,0.0
2024-05-30 21:54:55,48682.35,13.154469496578075,0.0
2024-05-30 21:55:08,48682.35,13.154469496578075,0.0
2024-05-30 21:55:21,48682.35,13.154469496578075,0.0
2024-05-30 21:55:35,48682.35,13.154469496578075,0.0
2024-05-30 21:55:49,48682.35,13.154469496578075,0.0
2024-05-30 21:56:01,48682.35,13.154469496578075,0.0
2024-05-30 21:56:14,48682.35,13.154469496578075,0.0
2024-05-30 21:56:26,48682.35,13.154469496578075,0.0
2024-05-30 21:56:40,48682.35,13.154469496578075,0.0
2024-05-30 21:56:53,48682.35,13.154469496578075,0.0
2024-05-30 21:57:05,48682.35,13.154469496578075,0.0
2024-05-30 21:57:18,48682.35,13.154469496578075,0.0
2024-05-30 21:57:30,48682.35,13.154469496578075,0.0
2024-05-30 21:57:43,48682.35,13.154469496578075,0.0
2024-05-30 21:57:57,48682.35,13.154469496578075,0.0
2024-05-30 21:58:10,48682.35,13.154469496578075,0.0
2024-05-30 21:58:23,48682.35,13.154469496578075,0.0
2024-05-30 21:58:35,48682.35,13.154469496578075,0.0
2024-05-30 21:58:48,48682.35,13.154469496578075,0.0
2024-05-30 21:59:01,48682.35,13.154469496578075,0.0
2024-05-30 21:59:13,48682.35,13.154469496578075,0.0
2024-05-30 21:59:26,48682.35,13.154469496578075,0.0
